Seizoen,Speeldag,Roepnaam,AantalFouten,FoutType
1975,10,Beerschot,1,MeerWedstrijdenDanSpeeldagen
1975,10,Berchem Sport,1,MeerWedstrijdenDanSpeeldagen
1975,10,Beringen FC,1,MeerWedstrijdenDanSpeeldagen
1975,10,Cercle Brugge,1,MeerWedstrijdenDanSpeeldagen
1975,10,Club Brugge,1,MeerWedstrijdenDanSpeeldagen
1975,10,KSV Waregem,1,MeerWedstrijdenDanSpeeldagen
1975,10,KV Mechelen,1,MeerWedstrijdenDanSpeeldagen
1975,10,RSC Anderlecht,1,MeerWedstrijdenDanSpeeldagen
1975,10,RWD Molenbeek,1,MeerWedstrijdenDanSpeeldagen
1975,10,Racing Mechelen,1,MeerWedstrijdenDanSpeeldagen
2002,10,Germinal,1,MeerWedstrijdenDanSpeeldagen
2002,10,KRC Genk,1,MeerWedstrijdenDanSpeeldagen
2002,10,KSC Lokeren,1,MeerWedstrijdenDanSpeeldagen
2002,10,KSK Beveren,1,MeerWedstrijdenDanSpeeldagen
2002,10,KV Mechelen,1,MeerWedstrijdenDanSpeeldagen
2002,10,KVC Westerlo,1,MeerWedstrijdenDanSpeeldagen
2002,10,La Louviere,1,MeerWedstrijdenDanSpeeldagen
2002,10,Lierse SK,1,MeerWedstrijdenDanSpeeldagen
2002,10,Sint-Truidense VV,1,MeerWedstrijdenDanSpeeldagen
2002,10,Standard Luik,1,MeerWedstrijdenDanSpeeldagen
2009,10,Cercle Brugge,1,MeerWedstrijdenDanSpeeldagen
2009,10,Club Brugge,1,MeerWedstrijdenDanSpeeldagen
2009,10,KAA Gent,1,MeerWedstrijdenDanSpeeldagen
2009,10,KRC Genk,1,MeerWedstrijdenDanSpeeldagen
2009,10,KSC Lokeren,1,MeerWedstrijdenDanSpeeldagen
2009,10,KSV Roeselare,1,MeerWedstrijdenDanSpeeldagen
2009,10,KV Kortrijk,1,MeerWedstrijdenDanSpeeldagen
2009,10,RSC Anderlecht,1,MeerWedstrijdenDanSpeeldagen
2009,10,SV Zulte Waregem,1,MeerWedstrijdenDanSpeeldagen
Seizoen,Speeldag,Daring Club Brussel,1,CorrectDoelpuntensaldo
1960,1,Beerschot,1,AantalGespeeldCorrect
1960,1,Club Brugge,1,AantalGespeeldCorrect
1960,1,Daring Club Brussel,1,AantalGespeeldCorrect
1960,1,Eendracht Aalst,1,AantalGespeeldCorrect
